epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,891.671,1.76166,1.53411,1.27105,0.39418,0.13651,0.10812,0.04408,2.46582,2.44278,1.77149,0.009373,0.009373,0.009373
21,935.592,1.74856,1.52023,1.26726,0.39828,0.16814,0.1026,0.04533,2.39261,2.38202,1.79598,0.00934,0.00934,0.00934
22,979.054,1.73852,1.51143,1.25728,0.3227,0.06907,0.04882,0.0205,2.429,2.43313,1.75897,0.009307,0.009307,0.009307
23,1022.13,1.73412,1.50761,1.25865,0.52395,0.08112,0.08757,0.04046,2.35227,2.37743,1.70865,0.009274,0.009274,0.009274
24,1065.64,1.73165,1.49491,1.25792,0.42597,0.21325,0.16569,0.07418,2.33097,2.30766,1.74737,0.009241,0.009241,0.009241
25,1108.62,1.72197,1.47413,1.24887,0.41303,0.2275,0.16913,0.07231,2.43515,2.3107,1.78079,0.009208,0.009208,0.009208
26,1152.03,1.71242,1.47126,1.24845,0.55212,0.18011,0.0994,0.0391,2.41859,2.41989,1.75475,0.009175,0.009175,0.009175
27,1194.55,1.69713,1.43806,1.23954,0.41,0.21547,0.1527,0.06218,2.38806,2.32272,1.7193,0.009142,0.009142,0.009142
28,1237.8,1.69622,1.44389,1.23858,0.40539,0.21021,0.16157,0.06293,2.46923,2.29637,1.7557,0.009109,0.009109,0.009109
29,1281.74,1.69182,1.42673,1.23658,0.3317,0.1634,0.09153,0.03744,2.40365,2.29659,1.76035,0.009076,0.009076,0.009076
30,1325.04,1.71028,1.43843,1.23608,0.38763,0.17008,0.14198,0.06385,2.36122,2.26396,1.70258,0.009043,0.009043,0.009043
31,1368.13,1.67231,1.39393,1.22499,0.42638,0.16377,0.13806,0.05661,2.41664,2.33485,1.73626,0.00901,0.00901,0.00901
32,1410.33,1.67787,1.4011,1.22859,0.4621,0.11384,0.10145,0.05681,2.36946,2.23581,1.69547,0.008977,0.008977,0.008977
33,1453.95,1.69326,1.40487,1.22996,0.3904,0.21972,0.20521,0.08793,2.34134,2.2134,1.68729,0.008944,0.008944,0.008944
34,1496.89,1.65196,1.3848,1.22354,0.35846,0.12796,0.08472,0.03446,2.37795,2.32462,1.73708,0.008911,0.008911,0.008911
35,1539.54,1.64659,1.36365,1.21349,0.42682,0.23688,0.20315,0.11316,2.3225,2.15545,1.67157,0.008878,0.008878,0.008878
36,1582.31,1.64985,1.36722,1.21082,0.48485,0.19974,0.17984,0.09252,2.39732,2.23184,1.73095,0.008845,0.008845,0.008845
37,1625.91,1.646,1.35834,1.20951,0.61902,0.22776,0.13949,0.05437,2.40732,2.28227,1.71533,0.008812,0.008812,0.008812
38,1668.27,1.6499,1.36373,1.2158,0.43719,0.22724,0.14659,0.06567,2.39903,2.16333,1.72371,0.008779,0.008779,0.008779
39,1709.83,1.63805,1.34799,1.21092,0.37847,0.19462,0.14021,0.07354,2.35476,2.13772,1.71801,0.008746,0.008746,0.008746
40,1752.51,1.63744,1.32424,1.20732,0.48607,0.21716,0.16441,0.06226,2.34221,2.0905,1.72234,0.008713,0.008713,0.008713
41,1795.95,1.61387,1.32182,1.19912,0.34889,0.14657,0.08862,0.04088,2.32605,2.17904,1.68215,0.00868,0.00868,0.00868
42,1838.35,1.62904,1.32741,1.20071,0.40975,0.19538,0.14216,0.06185,2.32841,2.11851,1.7081,0.008647,0.008647,0.008647
43,1882.13,1.60377,1.30003,1.19222,0.56399,0.15469,0.10284,0.04964,2.30137,2.15429,1.65957,0.008614,0.008614,0.008614
44,1924.83,1.61395,1.30459,1.196,0.39546,0.21821,0.14314,0.07268,2.338,2.19913,1.67776,0.008581,0.008581,0.008581
45,1967.13,1.62669,1.315,1.19346,0.63648,0.22977,0.1691,0.07203,2.36386,2.18708,1.70646,0.008548,0.008548,0.008548
46,2010.59,1.60605,1.28365,1.18188,0.37296,0.14136,0.13011,0.06259,2.27725,2.17167,1.67445,0.008515,0.008515,0.008515
47,2054.53,1.59749,1.26836,1.18075,0.59004,0.12491,0.09123,0.03912,2.38013,2.12712,1.71373,0.008482,0.008482,0.008482
48,2098.23,1.60669,1.28577,1.19137,0.56544,0.17371,0.15297,0.0874,2.27873,2.10893,1.66839,0.008449,0.008449,0.008449
49,2141.56,1.59518,1.26922,1.17584,0.62293,0.18934,0.13392,0.06511,2.33097,2.13679,1.67238,0.008416,0.008416,0.008416
50,2184.22,1.58462,1.26091,1.17868,0.61143,0.23462,0.1646,0.06588,2.35357,2.14142,1.68722,0.008383,0.008383,0.008383
51,2225.54,1.58663,1.26574,1.17727,0.62598,0.19487,0.15344,0.06196,2.31087,2.1206,1.6892,0.00835,0.00835,0.00835
52,2268.28,1.56328,1.24136,1.17395,0.64949,0.22471,0.17002,0.05977,2.25287,2.03002,1.64506,0.008317,0.008317,0.008317
53,2310.33,1.57664,1.25552,1.17205,0.63178,0.22476,0.16279,0.06473,2.29652,2.08328,1.67767,0.008284,0.008284,0.008284
54,2353.48,1.56741,1.23843,1.17563,0.62375,0.24357,0.15387,0.06331,2.34865,2.08166,1.69546,0.008251,0.008251,0.008251
55,2397.39,1.57675,1.25565,1.17268,0.61471,0.18236,0.14706,0.05746,2.37263,2.0351,1.67,0.008218,0.008218,0.008218
56,2441.1,1.57894,1.24517,1.17181,0.63794,0.11872,0.10764,0.0474,2.31398,2.0241,1.67893,0.008185,0.008185,0.008185
57,2484.2,1.57723,1.24039,1.17196,0.58225,0.19513,0.13946,0.07679,2.28768,2.0323,1.67454,0.008152,0.008152,0.008152
58,2528.15,1.56341,1.22892,1.16931,0.62257,0.19423,0.18097,0.0698,2.35765,2.03938,1.69542,0.008119,0.008119,0.008119
59,2571.33,1.56108,1.22138,1.16695,0.71993,0.2152,0.18479,0.07626,2.32184,2.04192,1.66393,0.008086,0.008086,0.008086
60,2617.83,1.54717,1.21353,1.16557,0.65555,0.21779,0.20125,0.08695,2.34709,2.04403,1.69568,0.008053,0.008053,0.008053
61,2666.98,1.55334,1.21637,1.15899,0.56959,0.19208,0.15915,0.0792,2.27486,2.03183,1.65691,0.00802,0.00802,0.00802
62,2719.63,1.54971,1.2039,1.15977,0.48903,0.18,0.10952,0.04575,2.27168,2.03933,1.64645,0.007987,0.007987,0.007987
63,2766.84,1.56494,1.21589,1.16114,0.49223,0.16955,0.12427,0.05153,2.30075,2.08218,1.68253,0.007954,0.007954,0.007954
64,2810.59,1.54706,1.20121,1.15909,0.57992,0.14012,0.0881,0.04658,2.27108,2.09061,1.66022,0.007921,0.007921,0.007921
65,2854.4,1.54245,1.18783,1.15519,0.58828,0.13687,0.13443,0.05144,2.27537,2.04276,1.6586,0.007888,0.007888,0.007888
66,2898.16,1.54555,1.19185,1.15645,0.68551,0.23694,0.19315,0.07354,2.26841,1.95465,1.66819,0.007855,0.007855,0.007855
67,2950.3,1.53697,1.19317,1.15469,0.61734,0.24386,0.18808,0.09018,2.30966,2.04139,1.66448,0.007822,0.007822,0.007822
68,2999.82,1.54436,1.19114,1.15414,0.64335,0.23649,0.17667,0.07496,2.24835,1.98407,1.62817,0.007789,0.007789,0.007789
69,3051.26,1.53795,1.18906,1.15042,0.64785,0.23595,0.16942,0.07143,2.2921,2.00275,1.66075,0.007756,0.007756,0.007756
70,3094.44,1.53373,1.17312,1.15095,0.64812,0.2333,0.17951,0.07602,2.21534,1.94888,1.63649,0.007723,0.007723,0.007723
71,3138.43,1.50858,1.1631,1.14241,0.67914,0.22184,0.19598,0.1113,2.25934,1.93673,1.65658,0.00769,0.00769,0.00769
72,3181.72,1.51895,1.17016,1.14675,0.71534,0.15597,0.15909,0.08157,2.29236,1.98327,1.67482,0.007657,0.007657,0.007657
73,3224.24,1.5275,1.16601,1.14604,0.6147,0.23942,0.17631,0.07479,2.228,2.03989,1.63653,0.007624,0.007624,0.007624
74,3266.75,1.50849,1.14941,1.14263,0.6675,0.2305,0.18753,0.10123,2.26405,1.99246,1.64381,0.007591,0.007591,0.007591
75,3309.29,1.53212,1.17228,1.14688,0.6629,0.16703,0.13884,0.06343,2.19744,1.99763,1.60101,0.007558,0.007558,0.007558
76,3352.03,1.51756,1.16262,1.14584,0.67494,0.23661,0.19174,0.07286,2.23594,1.98094,1.62005,0.007525,0.007525,0.007525
77,3394.93,1.52456,1.15338,1.13612,0.63389,0.23811,0.17701,0.06218,2.321,2.02288,1.65376,0.007492,0.007492,0.007492
78,3438.23,1.52167,1.15028,1.14209,0.60641,0.18948,0.12845,0.05968,2.2642,2.0081,1.64971,0.007459,0.007459,0.007459
79,3481.96,1.51391,1.15236,1.13924,0.54341,0.1959,0.11744,0.05891,2.26935,1.99061,1.64063,0.007426,0.007426,0.007426
80,3525.36,1.49663,1.13521,1.13635,0.70604,0.2303,0.17602,0.07806,2.19363,1.92518,1.61402,0.007393,0.007393,0.007393
81,3568.81,1.51095,1.14655,1.13688,0.65355,0.24078,0.20482,0.11204,2.21256,1.94997,1.61994,0.00736,0.00736,0.00736
82,3612.53,1.51336,1.14431,1.13599,0.63041,0.18024,0.18146,0.11449,2.23749,1.93989,1.64288,0.007327,0.007327,0.007327
83,3655.24,1.51672,1.14015,1.1388,0.69234,0.22554,0.19337,0.10046,2.2953,2.00074,1.65401,0.007294,0.007294,0.007294
84,3697.08,1.50096,1.12742,1.13165,0.60006,0.17842,0.15257,0.08647,2.29673,1.95064,1.65244,0.007261,0.007261,0.007261
85,3741,1.5031,1.12458,1.13206,0.67287,0.17575,0.15629,0.10262,2.29241,1.94503,1.67201,0.007228,0.007228,0.007228
86,3782.26,1.4936,1.11677,1.12054,0.60574,0.17959,0.11484,0.05866,2.31246,1.94278,1.6508,0.007195,0.007195,0.007195
87,3824.15,1.49505,1.11671,1.12769,0.54474,0.19631,0.09732,0.04776,2.30227,1.93052,1.66676,0.007162,0.007162,0.007162
88,3867.2,1.47881,1.1104,1.12581,0.72193,0.12842,0.13465,0.08836,2.31342,1.94723,1.65295,0.007129,0.007129,0.007129
89,3911.16,1.48255,1.10303,1.12331,0.70811,0.12842,0.14866,0.09324,2.26988,1.94055,1.64426,0.007096,0.007096,0.007096
90,3954.11,1.47216,1.10198,1.12284,0.54734,0.14358,0.10757,0.05763,2.26516,1.95248,1.63537,0.007063,0.007063,0.007063
91,3997.33,1.48487,1.11165,1.12088,0.63281,0.1224,0.14415,0.08517,2.27379,1.96048,1.65188,0.00703,0.00703,0.00703
92,4040.61,1.48608,1.09872,1.11988,0.60453,0.19211,0.17287,0.09486,2.27729,1.91379,1.66795,0.006997,0.006997,0.006997
93,4084.3,1.45277,1.08442,1.11509,0.6195,0.25373,0.17945,0.09977,2.28538,1.96369,1.6675,0.006964,0.006964,0.006964
94,4129.14,1.47598,1.08541,1.11729,0.6172,0.25315,0.16451,0.07561,2.27051,1.96774,1.6322,0.006931,0.006931,0.006931
95,4172.05,1.46207,1.08454,1.11326,0.68977,0.1823,0.12783,0.06493,2.24782,1.92989,1.63486,0.006898,0.006898,0.006898
96,4214.33,1.48686,1.09481,1.11835,0.61304,0.23085,0.13947,0.06376,2.2685,1.93567,1.65851,0.006865,0.006865,0.006865
97,4258.02,1.47709,1.08908,1.12073,0.64963,0.23212,0.16758,0.06897,2.2366,1.91824,1.63262,0.006832,0.006832,0.006832
98,4301.6,1.48182,1.09812,1.11688,0.65926,0.22861,0.16834,0.07766,2.20332,1.92677,1.60461,0.006799,0.006799,0.006799
99,4345.49,1.45931,1.06975,1.11042,0.69276,0.22549,0.19083,0.09438,2.20736,1.91947,1.61628,0.006766,0.006766,0.006766
100,4387.86,1.45341,1.0644,1.11018,0.68029,0.1684,0.15668,0.08874,2.2234,1.91251,1.62077,0.006733,0.006733,0.006733
101,4430.16,1.47618,1.0812,1.10586,0.74666,0.21921,0.17494,0.07066,2.22087,1.93187,1.63749,0.0067,0.0067,0.0067
102,4473.63,1.47401,1.08829,1.12,0.62368,0.18551,0.12396,0.06144,2.22545,1.89102,1.62174,0.006667,0.006667,0.006667
103,4517.46,1.45086,1.06121,1.10737,0.63025,0.18335,0.12612,0.06144,2.26313,1.92619,1.63991,0.006634,0.006634,0.006634
104,4562.4,1.45753,1.06467,1.10751,0.61307,0.18687,0.11299,0.05557,2.23637,1.9212,1.62125,0.006601,0.006601,0.006601
105,4605.5,1.45127,1.05772,1.10693,0.64012,0.22178,0.13354,0.05293,2.26486,1.944,1.65785,0.006568,0.006568,0.006568
106,4647.81,1.45628,1.06965,1.10799,0.63544,0.22477,0.12715,0.04817,2.30958,1.97121,1.67362,0.006535,0.006535,0.006535
107,4689.57,1.43846,1.04633,1.10053,0.65094,0.2303,0.14822,0.05494,2.29306,1.91835,1.65481,0.006502,0.006502,0.006502
108,4731.87,1.43834,1.04286,1.10071,0.68804,0.16768,0.14021,0.05584,2.28307,1.91577,1.65463,0.006469,0.006469,0.006469
109,4774.23,1.43752,1.04989,1.10441,0.64112,0.16709,0.1096,0.05849,2.292,1.91428,1.66805,0.006436,0.006436,0.006436
110,4817.04,1.43464,1.03935,1.10097,0.61235,0.24475,0.17329,0.06832,2.27475,1.91895,1.66968,0.006403,0.006403,0.006403
111,4860.25,1.43864,1.04175,1.10272,0.59181,0.1387,0.13712,0.07866,2.26422,1.91786,1.64347,0.00637,0.00637,0.00637
112,4903.44,1.43784,1.03937,1.09716,0.61196,0.18642,0.12428,0.06289,2.26564,1.94434,1.65334,0.006337,0.006337,0.006337
113,4946.3,1.44002,1.04232,1.09951,0.64328,0.12445,0.14019,0.08332,2.25514,1.95721,1.64122,0.006304,0.006304,0.006304
114,4989.63,1.43844,1.03735,1.09746,0.63433,0.12727,0.14209,0.08743,2.2879,1.95336,1.66547,0.006271,0.006271,0.006271
115,5034.24,1.42947,1.03017,1.09391,0.59777,0.13759,0.15203,0.09001,2.24462,1.9683,1.64098,0.006238,0.006238,0.006238
116,5078.16,1.44759,1.04968,1.1018,0.60174,0.20637,0.167,0.06676,2.23756,1.95863,1.62902,0.006205,0.006205,0.006205
117,5122.09,1.43946,1.03496,1.0994,0.63391,0.18714,0.12992,0.06399,2.24075,1.90364,1.63219,0.006172,0.006172,0.006172
118,5165.3,1.42891,1.02647,1.08978,0.62992,0.18577,0.12981,0.06374,2.24356,1.91309,1.63824,0.006139,0.006139,0.006139
119,5209.51,1.42738,1.02323,1.0901,0.63278,0.18395,0.12867,0.06351,2.25968,1.9187,1.64135,0.006106,0.006106,0.006106
120,5253.43,1.43531,1.03645,1.09698,0.6577,0.23414,0.16605,0.06563,2.26508,1.90686,1.64772,0.006073,0.006073,0.006073
121,5296.54,1.42029,1.01738,1.08865,0.65849,0.17607,0.1159,0.06125,2.25893,1.91238,1.65868,0.00604,0.00604,0.00604
122,5340.86,1.42408,1.02157,1.09289,0.65737,0.18124,0.12456,0.0726,2.28402,1.92889,1.66592,0.006007,0.006007,0.006007
123,5383.84,1.42972,1.02383,1.08742,0.61509,0.1831,0.11298,0.0651,2.28517,1.9183,1.66407,0.005974,0.005974,0.005974
124,5427.76,1.42708,1.01471,1.08854,0.62252,0.17517,0.11341,0.06152,2.28497,1.89557,1.66995,0.005941,0.005941,0.005941
125,5470.7,1.42681,1.00723,1.08764,0.60288,0.18544,0.11319,0.05974,2.28348,1.89351,1.65044,0.005908,0.005908,0.005908
126,5514.83,1.41375,1.01163,1.08685,0.61713,0.18154,0.12334,0.06835,2.27672,1.89386,1.6506,0.005875,0.005875,0.005875
127,5557.65,1.41366,1.00001,1.08248,0.67864,0.22497,0.16411,0.07523,2.25895,1.88684,1.63393,0.005842,0.005842,0.005842
128,5602.22,1.4122,1.00205,1.08507,0.69128,0.22737,0.16414,0.07518,2.24892,1.89635,1.63454,0.005809,0.005809,0.005809
129,5646.12,1.41617,1.00824,1.08594,0.66585,0.23618,0.16588,0.06781,2.25394,1.89575,1.64201,0.005776,0.005776,0.005776
130,5689.44,1.41636,1.00025,1.0825,0.66594,0.24187,0.16664,0.0672,2.2373,1.8871,1.63691,0.005743,0.005743,0.005743
131,5733.37,1.41541,1.0055,1.08179,0.60601,0.19735,0.11768,0.06179,2.21936,1.89396,1.62338,0.00571,0.00571,0.00571
132,5775.86,1.40802,0.99824,1.08722,0.60323,0.19735,0.11794,0.06043,2.2268,1.90225,1.63259,0.005677,0.005677,0.005677
133,5819.25,1.40285,0.99806,1.07533,0.62428,0.18661,0.1197,0.06575,2.22281,1.91511,1.62469,0.005644,0.005644,0.005644
134,5862.06,1.39127,0.98189,1.07316,0.69412,0.23297,0.16939,0.07109,2.25032,1.92931,1.63603,0.005611,0.005611,0.005611
135,5904.95,1.40676,0.99239,1.0775,0.68815,0.22607,0.16863,0.06795,2.25372,1.9285,1.63452,0.005578,0.005578,0.005578
