epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2769,2.13336,3.33888,1.53756,0.82919,0.01979,0.01458,0.00569,2.60874,3.87668,1.91586,0.00332329,0.00332329,0.00332329
2,92.3403,2.00627,2.49827,1.4121,0.62398,0.03567,0.00844,0.00329,2.84308,5.10089,2.08307,0.00663466,0.00663466,0.00663466
3,135.55,2.06282,2.36714,1.42306,0.45892,0.11343,0.02252,0.0097,2.86619,3.84062,2.17336,0.00992403,0.00992403,0.00992403
4,178.305,2.12418,2.27934,1.45425,0.44924,0.08114,0.01786,0.00734,2.80716,3.51527,2.12378,0.009901,0.009901,0.009901
5,222.084,2.08655,2.12935,1.44206,0.70106,0.11516,0.07473,0.03006,2.68581,3.52106,1.97245,0.009868,0.009868,0.009868
6,264.958,2.0236,2.01591,1.40567,0.2699,0.05264,0.03063,0.01308,2.63713,3.12874,1.8765,0.009835,0.009835,0.009835
7,307.751,1.97204,1.91947,1.3809,0.2637,0.14228,0.12125,0.03294,2.59629,2.78871,1.84168,0.009802,0.009802,0.009802
8,349.544,1.95258,1.86328,1.37006,0.46139,0.04302,0.04845,0.02088,2.54881,3.495,1.84582,0.009769,0.009769,0.009769
9,392.543,1.91371,1.79746,1.3417,0.44452,0.18644,0.11597,0.04797,2.47159,2.81167,1.87905,0.009736,0.009736,0.009736
10,435.728,1.93174,1.81161,1.35444,0.24367,0.08829,0.06527,0.02488,2.46841,2.90493,1.82448,0.009703,0.009703,0.009703
11,479.009,1.88564,1.74525,1.33508,0.28794,0.06364,0.04613,0.01839,2.44947,2.76147,1.83069,0.00967,0.00967,0.00967
12,526.497,1.85415,1.73035,1.33237,0.29819,0.06338,0.04445,0.02105,2.50648,2.66233,1.84514,0.009637,0.009637,0.009637
13,574.903,1.86869,1.70703,1.32249,0.40169,0.11968,0.09416,0.02663,2.44939,2.56606,1.79529,0.009604,0.009604,0.009604
14,630.265,1.82449,1.66381,1.31615,0.2905,0.08029,0.05867,0.02727,2.37084,2.6649,1.76362,0.009571,0.009571,0.009571
15,676.047,1.82454,1.64524,1.29922,0.40764,0.14341,0.13547,0.03985,2.4725,2.47204,1.74893,0.009538,0.009538,0.009538
16,719.138,1.80517,1.62483,1.29304,0.49933,0.08047,0.07309,0.027,2.41281,2.46859,1.74807,0.009505,0.009505,0.009505
17,761.003,1.78083,1.5836,1.27667,0.33981,0.23042,0.1118,0.05833,2.37766,2.47355,1.76454,0.009472,0.009472,0.009472
18,804.239,1.77345,1.57272,1.27696,0.45361,0.20238,0.14472,0.07962,2.40949,2.55863,1.76289,0.009439,0.009439,0.009439
19,847.766,1.78759,1.57287,1.27889,0.38404,0.21039,0.11551,0.04474,2.50701,2.67007,1.79023,0.009406,0.009406,0.009406
